shortened_name,name,ucinetid,department
"CHATURVEDI, V.",Vinayak Chaturvedi,vinayak,History
"CHAVEZ, L.",Leo Chavez,lchavez,Anthropology
"CHEN, C.",Chuansheng Chen,cschen,Psychological Science
"CHEN, H.",Hanning Chen,hanninc,Earth System Science
"CHEN, J.",Jessica Hsiao-Fen Liu Chen,hjliu,East Asian Studies
"CHEN, J.",Jiawei Chen,jiaweic,Economics
"CHEN, L.",Liu Chen,liuchen,Physics and Astronomy
"CHEN, L.",Long Chen,lchen7,Mathematics
"CHEN, M.",Mu-Chun Chen,muchunc,Physics and Astronomy
"CHEN, Q.",Qi Chen,alfchen,Computer Science
"CHEN, Y.",Yunan Chen,yunanc,Informatics
"CHEN, Z.",Zhongping Chen,z2chen,Biomedical Engineering
"CHENG, T.",Tony Cheng,tonyc9,"Criminology, Law & Society"
"CHERNYAK, N.",Nadia Chernyak,nchernya,Cognitive Science
"CHERNYSHEV, A.",Alexander L Chernyshev,sasha,Physics and Astronomy
"CHERNYSHOFF, N.",Natalia Chernyshoff,nchernys,Economics
"CHESLER, N.",Naomi C Chesler,nchesler,Biomedical Engineering
"CHEW, K.",Kenneth S Chew,chew,Urban Planning & Public Policy
"CHIAMPI, J.",James Chiampi,jtchiamp,European Languages and Studies
"CHIAVERINI, J.",Julie Chiaverini,jchiaver,Education
"CHIENG, C.",Chieh Li Chieng,cchieng,English
"CHO, K.",Ken Won-Young Cho,kwcho,Developmental and Cell Biology
"CHOATE HUFFT, E.",Eleanore Stevenson Choate Hufft,choatee,Arts-Music
"CHOE, H.",Hyunju Choe,hyunjuc,East Asian Studies
"CHOI, B.",Bernard Choi,choib,Surgery - Beckman Laser
"CHOI, C.",Chungmoo Choi,cchoi,East Asian Studies
"CHOU, P.",Pai H Chou,phchou,Electrical Engineering & Computer Science
"CHOUDHARY, V.",Vidyanand Choudhary,veecee,Paul Merage School of Business
"CHRASTIL, E.",Elizabeth Ruth Chrastil,chrastil,Neurobiology and Behavior
"CHRISTENSEN, J.",Jerome Christensen,jchris,English
"CINQUIN, O.",Olivier Cinquin,ocinquin,Developmental and Cell Biology
"CIVELLI, O.",Olivier Civelli,ocivelli,Pharmaceutical Sciences
"CLARK, D.",Damon Clark,clarkd1,Economics
"CLARK, M.",Michael P Clark,mpclark,English
"CLEGG, M.",Michael T Clegg,mclegg,Ecology & Evolutionary Biology
"CLOUD, P.",Patricia A Cloud,pcloud,Arts-Music
"COCCO, M.",Melanie Cocco,mcocco,Molecular Biology & Biochemistry
"COHEN, R.",Robert S Cohen,cohen,Arts-Drama
"COHEN-CORY, S.",Susana Cohen-Cory,scohenco,Neurobiology and Behavior
"COLBY, B.",Benjamin N Colby,bncolby,Anthropology
"COLE, S.",Simon A Cole,scole,"Criminology, Law & Society"
"COLIVA, A.",Annalisa Coliva,cannalis,Philosophy
"COLLER, I.",Ian B Coller,icoller,History
"COLLINS, P.",Penelope Ruth Collins,pennyc,Education
"COLLINS, P.",Philip Collins,collinsp,Physics and Astronomy
"COLLINS, R.",Rachael Louise Collins,collins2,English
"CONCHAS, G.",Gilverto Q Conchas,gconchas,Education
"CONNER, R.F.",Ross F Conner,rfconner,Urban Planning & Public Policy
"CONNOR, K.",Kwasi Malik Connor,kmconnor,Ecology & Evolutionary Biology
"COOLIDGE, M.",Miles Cary Coolidge,mcoolidg,Arts-Studio Art
"COOPER, D.",Dan M Cooper,dcooper,SOM - Pediatrics
"COOPER, M.",Michael Cooper,cooper,Physics and Astronomy
"COOPER, W.",William James Cooper,wcooper,Civil & Environmental Engineering
"COORAY, A.",Asantha R Cooray,acooray,Physics and Astronomy
"COPP, D.",David A Copp,dcopp,Mechanical & Aerospace Engineering
"COPP, S.",Stacy Marla Copp,copps,Materials Science and Engineering
"COREY, M.",Mary E Corey,mecorey,Arts-Dance
"CORN, R.",Robert Corn,rcorn,Chemistry
"CORRADA-BRAVO, M.",Maria M Corrada-Bravo,mcorrada,SOM - Neurology
"CORWIN, M.",Miles Corwin,corwinm,English
"COTMAN, C.",Carl W Cotman,cwcotman,SOM - Neurology
"COULSON, N.",Norman Edward Coulson,ncoulson,Paul Merage School of Business
"COUTIN, S.",Susan C Bibler Coutin,scoutin,"Criminology, Law & Society"
"COZEN, W.",Wendy Cozen,wcozen,SOM - Department of Medicine
"CRAMER, K.",Karina S Cramer,cramerk,Neurobiology and Behavior
"CRANSTON, M.",Michael C Cranston,mcransto,Mathematics
"CRAWFORD, J.",John L Crawford,johncraw,Arts-Dance
"CRAWFORD, T.",Thomas J Crawford,tjcrawfo,Psychological Science
"CROOK, E.",Elizabeth Derse Crook,ecrook1,Earth System Science
"CROOKS, R.",Roderic Nicholaus Crooks,crooksr,Informatics
"CRUZ, A.J.",Anne J Cruz,ajcruz,Spanish & Portuguese
"CUMSKY, M.",Michael G Cumsky,mgcumsky,Molecular Biology & Biochemistry
"CUNNINGHAM, L.",Lucia Cunningham,lcunning,Spanish & Portuguese
"CURRIE, E.",Elliott P Currie,ecurrie,"Criminology, Law & Society"
"CURRIM, I.",Imran S Currim,iscurrim,Paul Merage School of Business
"CYR, P.",Patricia Cyr,pcyr,School of Law
"CZIMCZIK, C.",Claudia I Czimczik,czimczik,Earth System Science
"Chandramowlishwaran, A.",Aparna Chandramowlishwaran,amowli,Electrical Engineering & Computer Science
"Contreras, F.",Frances E Contreras,fecontre,Education
"Croskery-Roberts, R.",Rachel E Croskery-Roberts,rcrosker,School of Law
"D'ZMURA, T.",Thomas Michael D'zmura,mdzmura,Cognitive Science
"DA SILVA, N.",Nancy A Da Silva,ndasilva,Chemical & Biomolecular Engineering
"DABDUB, D.",Donald Dabdub,ddabdub,Mechanical & Aerospace Engineering
"DALEY, M.",Monica A Daley,madaley,Ecology & Evolutionary Biology
"DALTON, T.",Teresa Aileen Dalton,tdalton,"Criminology, Law & Society"
"DANG, Q.",Quoc Viet P Dang,qpdang,Electrical Engineering & Computer Science
"DANNER, K.",Keith Donald Danner,kdanner,English
"DANZIGER, J.",James N Danziger,danziger,Political Science
"DARIAN-SMITH, E.",Eve Darian-Smith,edarian,Global & International Studies
"DARYAEE, T.",Touraj Daryaee,tdaryaee,History
"DAUCHAN, D.",Desha Rae Dauchan,ddauchan,Film & Media Studies
"DAULATZAI, S.",Sohail Daulatzai,sdaulatz,Film & Media Studies
"DAVIS, C.",Christopher J Davis,daviscj,Mathematics
"DAVIS, J.",Jonathan D Davis,jddavis,Arts-Music
"DAVIS, K.",Kristen Alexis Davis,davis,Civil & Environmental Engineering
"DAVIS, R.",Rebecca A Davis,radavis,English
"DAVIS, S.",Steven J Davis,sjdavis,Earth System Science
"DE FLAVIIS, F.",Franco De Flaviis,franco,Electrical Engineering & Computer Science
"DE LA MAZA, H.",Helen M De La Maza,hdelamaz,Education
"DE VANY, A.S.",Arthur S De Vany,asdevany,Economics
"DECHTER, R.",Rina Dechter,dechter,Computer Science
"DELANEY, M.",Myrona L DeLaney,mldelane,Arts-Drama
"DELANY-ULLMAN, L.",Lorene Delany-Ullman,ldelanyu,English
"DEMSKY, B.",Brian C Demsky,bdemsky,Computer Science
"DENENBERG, D.",Darren A Denenberg,ddenenbe,Informatics
"DENNIN, M.",Michael B Dennin,mdennin,OVPTL - Administration
"DENT, A.",Amy L Dent,denta,Psychological Science
"DEPAUL, A.",Amy L Depaul,depaula,English
"DESIPIO, L.",Louis DeSipio,ldesipio,Chicano/Latino Studies
"DESSEN, M.",Michael Dessen,mdessen,Arts-Music
"DETRANO, R.",Robert C Detrano,rdetrano,Public Health/ Administration
"DETWILER, R.",Russell L Detwiler,detwiler,Civil & Environmental Engineering
"DEWAN, S.",Sanjeev Dewan,sdewan,Paul Merage School of Business
"DI MAIO, F.",Fabrizio Di Maio,fdimaio,European Languages and Studies
"DIEFENDERFER, D.",Diane Diefenderfer,dldiefen,Arts-Dance
"DIETZ, Z.",Zachary Dale Dietz,zdietz,Arts-Drama
"DIETZE, P.",Pia Dietze,pdietze,Psychological Science
"DIGMAN, M.",Michelle Digman,mdigman,Biomedical Engineering
"DILLENCOURT, M.",Michael B Dillencourt,mbdillen,Computer Science
"DIMENTO, J.",Joseph F DiMento,jfdiment,School of Law
"DING, F.",Fangyuan Ding,dingfy,Biomedical Engineering
"DITTO, P.",Peter H Ditto,phditto,Psychological Science
"DJALILIAN, H.",Hamid Djalilian,hdjalili,SOM - Otolaryngology
"DOBRIAN, J.",John Christopher Dobrian,dobrian,Arts-Music
"DOEDENS, R.",Robert J Doedens,rdoedens,Chemistry
"DOEMER, R.",Rainer Doemer,doemer,Electrical Engineering & Computer Science
"DOGUCU, M.",Mine Dogucu,mdogucu,Statistics
"DOLLAR, F.",Franklin Dollar,fdollar,Physics and Astronomy
"DOMBRINK, J.",John Dombrink,jddombri,"Criminology, Law & Society"
"DONALDSON, N.",Neil Malcolm Donaldson,ndonalds,Mathematics
"DONG, V.",Vy M Dong,dongv,Chemistry
"DONG, Y.",Yingying Dong,yyd,Economics
"DONOVAN, P.",Peter J Donovan,pdonovan,SOM - Biological Chemistry
